salary,city,companyShortName,district,companyId,jobNature,industryField,createTime,firstType,secondType,positionAdvantage,positionName,education,companyFullName,companyLabelList,companySize
16k-23k,深圳,杉岩数据,南山区,71639,全职,"企业服务,数据服务",2018-07-11 09:54:49,开发/测试/运维类,软件开发,"领导好,发展空间大,9点半上班,扁平化管理",高级Python开发工程师,本科,深圳市杉岩数据技术有限公司,"股票期权, 扁平管理, 领导好, 五险一金, ",50-150人
10k-15k,深圳,荔枝微课,南山区,187673,全职,"移动互联网,教育",2018-07-12 15:19:50,开发/测试/运维类,后端开发,"五险一金,带薪年假",Python工程师,本科,深圳市微课科技有限公司,"美女多, 弹性工作, 扁平管理, 年底双薪, ",50-150人
6k-12k,深圳,淘乐网络,南山区,20727,全职,游戏,2018-07-02 09:51:50,开发/测试/运维类,后端开发,"包三餐,发展空间大,行业领先",python客户端开发工程师,本科,深圳淘乐网络科技有限公司,"项目分成, 骨干配车, 年终奖, 免费三餐, ",150-500人
10k-20k,深圳,江苏亿科达,福田区,128998,全职,"移动互联网,金融",2018-07-12 10:11:07,开发/测试/运维类,后端开发,"年终奖,带薪年假,周末双休,五险一金",python 工程师,本科,上海海万信息科技股份有限公司,,500-2000人
13k-25k,深圳,暴鸡电竞,南山区,163522,全职,"移动互联网,文化娱乐",2018-07-09 12:05:52,开发/测试/运维类,后端开发,"电竞类项目,融资速度快,高期权,腾讯系团队",Python研发工程师,本科,深圳开黑科技有限公司,"股票期权, 岗位晋升, 年度旅游, 晚餐补贴, ",50-150人
12k-14k,深圳,金证股份,福田区,25317,全职,金融,2018-07-12 15:52:17,开发/测试/运维类,后端开发,"上市公司,大型项目,办公环境好,五险一金",后台开发（python）工程师,本科,深圳市金证科技股份有限公司,"激情的团队, 股票期权, 努力变大牛, 有舞台给您跳, ",2000人以上
8k-12k,深圳,松茂科技,南山区,90570,全职,移动互联网,2018-07-12 18:42:02,开发/测试/运维类,后端开发,"十点上班,周末双休,下午茶零食,团建旅游",Python开发工程师,本科,深圳松茂科技有限公司,"周末双休, 年轻团队, 朝十晚六, 技能培训, ",50-150人
10k-20k,深圳,微思敦,南山区,47871,全职,"移动互联网,广告营销",2018-07-12 15:53:48,开发/测试/运维类,后端开发,"五险一金,带薪年假,海外游学,每日下午茶",python开发工程师,本科,武汉微思敦网络技术有限公司,"五险一金, 绩效奖金, 交通补助, 通讯津贴, ",50-150人
15k-25k,深圳,智言科技,南山区,164895,全职,"数据服务,其他",2018-07-10 19:06:03,开发/测试/运维类,后端开发,"海归团队,股票期权,成长空简大,福利待遇优",高级Python开发工程师,本科,智言科技(深圳)有限公司,"年底双薪, 绩效奖金, 通讯津贴, 扁平管理, ",50-150人
10k-20k,深圳,前海汇流,南山区,32687,全职,移动互联网,2018-07-12 14:41:26,开发/测试/运维类,后端开发,"高薪假多,5天7小时,土豪奖金,境外旅游",Python研发工程师,本科,深圳市前海汇流信息科技有限公司,"带薪年假, 年度旅游, 领导好, 年底双薪, ",50-150人
10k-20k,深圳,酷竞NBA,南山区,147400,全职,"文化娱乐,游戏",2018-07-12 09:38:03,开发/测试/运维类,后端开发,"涨薪频率快,转正享年假,高颜值团队,丰富下午茶",Python开发工程师,本科,深圳酷竞科技有限公司,"交通补助, 绩效奖金, 专项奖金, 带薪年假, ",15-50人
18k-25k,深圳,武汉烧麦财播科技有限公司,南山区,205821,全职,"移动互联网,金融",2018-07-10 10:18:28,开发/测试/运维类,后端开发,"福利多,机会多,富有挑战性",Python开发工程师（深圳公司）,本科,武汉烧麦财播科技有限公司,"专项奖金, 绩效奖金, 带薪年假, 定期体检, ",50-150人
